1_1;1;24388
1_1;2;177702
1_1;3;12476
1_1;4;144165
1_1;5;61965
1_1;6;13582
1_1;7;127082
1_1;8;34279
1_1;9;34277
1_1;10;38562
1_1;11;10661
1_1;12;68044
1_1;13;116796
1_1;14;139758
1_1;15;139761
1_1;16;95663
1_1;17;105541
1_1;18;94758
1_1;19;105546
1_1;20;28748
1_2;1;28749
1_2;2;20374
1_2;3;20238
1_2;4;94784
1_2;5;64098
1_2;6;52505
1_2;7;139935
1_2;8;62191
1_2;9;29870
1_2;10;10673
1_2;11;10688
1_2;12;473
1_2;13;8557
1_2;14;34284
1_2;15;47872
1_2;16;193959
1_2;17;183580
1_2;18;181961
1_2;19;178080
1_2;20;12477
1_2;21;181967
2_1;1;183906
2_1;2;155673
2_1;3;155673
2_1;4;140013
2_1;5;112152
2_1;6;179408
2_1;7;141435
2_1;8;190273
2_1;9;181982
2_1;10;95919
2_1;11;38235
2_1;12;137321
2_1;13;38231
2_1;14;87646
2_1;15;40537
2_1;16;104220
2_1;17;40499
2_1;18;85285
2_1;19;85286
2_1;20;164140
2_1;21;80409
2_1;22;60694
2_1;23;134940
2_1;24;189635
2_1;25;87990
2_1;26;16343
2_1;27;32357
2_1;28;177850
2_1;29;167597
2_1;30;88893
2_1;31;88791
2_1;32;134937
2_1;33;134934
2_1;34;88797
2_2;1;135062
2_2;2;135065
2_2;3;183051
2_2;4;183053
2_2;5;183054
2_2;6;85310
2_2;7;104215
2_2;8;104216
2_2;9;104208
2_2;10;104210
2_2;11;1736
2_2;12;95856
2_2;13;36511
2_2;14;70255
2_2;15;164530
2_2;16;155672
2_2;17;155672
2_2;18;155664
3_1;1;192068
3_1;2;85598
3_1;3;85849
3_1;4;85760
3_1;5;131492
3_1;6;151933
3_1;7;76624
3_1;8;99652
3_1;9;145140
3_1;10;145132
3_1;11;101809
3_1;12;187707
3_1;13;193887
3_2;1;58855
3_2;2;170928
3_2;3;160720
3_2;4;9496
3_2;5;145156
3_2;6;145157
3_2;7;76626
3_2;8;91538
3_2;9;155837
3_2;10;3789
3_2;11;172353
3_2;12;85599
3_2;13;116790
4_1;1;12119
4_1;2;159585
4_1;3;17091
4_1;4;165955
4_1;5;32036
4_1;6;125237
4_1;7;146867
4_1;8;146867
4_1;9;99480
4_1;10;60253
4_1;11;4042
4_1;12;99476
4_1;13;172166
4_1;14;12115
4_1;15;30228
4_1;16;30226
4_1;17;120841
4_1;18;8802
4_1;19;8821
4_1;20;87990
4_1;21;16343
4_1;22;32357
4_1;23;177850
4_1;24;167597
4_1;25;88893
4_1;26;88791
4_1;27;134937
4_1;28;134934
4_1;29;88797
4_1;30;60694
4_2;1;30163
4_2;2;8815
4_2;3;30168
4_2;4;157411
4_2;5;30212
4_2;6;38175
4_2;7;164673
4_2;8;127785
4_2;9;146560
4_2;10;99219
4_2;11;99496
4_2;12;146853
4_2;13;146853
4_2;14;99278
4_2;15;154358
4_2;16;174435
5_1;1;194647
5_1;2;125518
5_1;3;93095
5_1;4;174224
5_1;5;174258
5_1;6;174237
5_1;7;119106
5_1;8;138144
5_1;9;90428
5_1;10;102501
5_1;11;140095
5_1;12;180164
5_1;13;102338
5_1;14;145928
5_1;15;116139
5_1;16;116211
5_1;17;187328
5_2;1;85098
5_2;2;116205
5_2;3;9128
5_2;4;116236
5_2;5;192295
5_2;6;109585
5_2;7;40524
5_2;8;178196
5_2;9;89539
5_2;10;155150
5_2;11;119111
5_2;12;162434
5_2;13;137314
5_2;14;56669
5_2;15;91626
5_2;16;91626
5_2;17;166912
6_1;1;138338
6_1;2;141671
6_1;3;86214
6_1;4;120394
6_1;5;25968
6_1;6;120522
6_1;7;21351
6_1;8;63567
6_1;9;187984
6_1;10;188058
6_1;11;181049
6_1;12;152979
6_1;13;188151
6_1;14;181001
6_1;15;84613
6_1;16;30822
6_1;16_1;77297
6_1;17;167597
6_1;18;88893
6_1;19;88791
6_1;20;134937
6_1;21;134934
6_1;22;88797
6_1;23;60694
6_1;24;134940
6_1;25;189635
6_1;26;87990
6_1;27;16343
6_1;29;32357
6_2;1;3689
6_2;2;3465
6_2;3;120527
6_2;4;96434
6_2;5;148974
6_2;6;147295
6_2;7;188272
6_2;8;180995
6_2;9;187983
6_2;10;63563
6_2;11;127059
6_2;12;155508
6_2;13;189169
6_2;14;185743
6_2;15;161822
6_2;16;153379
6_2;17;14532
7_1;1;26152
7_1;2;157279
7_1;3;101463
7_1;4;167341
7_1;5;145499
7_1;6;47506
7_1;7;148952
7_1;8;59210
7_1;9;166781
7_1;10;19901
7_1;11;135669
7_1;12;15964
7_1;13;15966
7_2;2;43404
7_2;3;175506
7_2;4;152474
7_2;5;126049
7_2;6;88567
7_2;7;29645
7_2;8;113002
7_2;9;87960
7_2;10;182986
7_2;11;154405
7_2;12;145498
7_2;13;167343
7_2;14;157289
7_2;15;167529
7_2;16;120735
8_1;1;126645
8_1;2;125942
8_1;3;1298
8_1;4;112509
8_1;5;95324
8_1;6;58641
8_1;7;23313
8_1;8;95832
8_1;9;8947
8_1;10;15984
8_1;11;15964
8_1;12;15966
8_2;1;139910
8_2;2;154135
8_2;3;154121
8_2;4;100285
8_2;5;154125
8_2;6;150108
8_2;7;163958
8_2;8;95327
8_2;9;129724
8_2;10;1116
8_2;11;125930
8_2;12;26132
9_1;1;48114
9_1;2;108355
9_1;3;100602
9_1;4;171486
9_1;5;171486
9_1;6;26374
9_1;7;42806
9_1;8;153831
9_1;9;26309
9_1;10;171833
9_1;11;26370
9_1;12;33687
9_1;13;26292
9_1;14;168670
9_1;15;168672
9_1;16;168673
9_1;17;159921
9_1;18;57703
9_1;19;151067
9_1;20;60694
9_1;21;134940
9_1;22;189635
9_1;23;87990
9_1;24;16343
9_1;25;32357
9_1;26;177850
9_1;27;167597
9_1;28;88893
9_1;29;88791
9_1;30;134937
9_1;31;134934
9_1;32;88797
9_2;1;143925
9_2;2;32967
9_2;3;97730
9_2;4;6836
9_2;5;65628
9_2;6;6616
9_2;7;39355
9_2;8;39360
9_2;9;33686
9_2;10;81021
9_2;11;129667
9_2;12;129669
9_2;13;129649
9_2;14;158950
9_2;15;158950
9_2;16;158996
9_2;17;116919
9_2;18;100600
9_2;19;105336
